Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-utah-cshcn-adult-autism-treatment-account,Utah Adult Autism Treatment Account (AATA),People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dsbvi-low-vision-services,Utah DSBVI Low Vision Services,Blind & low vision; People with disabilities,Blind & low vision; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dsbvi-st-george-vocational-rehabilitation,"Utah DSBVI St. George vocational rehabilitation, blind services, and skills training",Blind & low vision; People with disabilities,Blind & low vision; People with disabilities; Deaf & hard of hearing,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dsdhh-southern-center-case-management,"Utah DSDHH Southern Utah Program / Southern Center case management, benefits access, classes, and senior events",Seniors; Deaf & hard of hearing; People with disabilities,Seniors; Deaf & hard of hearing; People with disabilities; Blind & low vision; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-state-parks-veterans-disabilities-honor-pass,Utah State Parks Veterans With Disabilities Honor Pass,Veterans & military families; People with disabilities,Veterans & military families; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dwr-accessible-hunting-fishing,Utah DWR accessible hunting and fishing opportunities for people with disabilities,Veterans & military families; People with disabilities,Veterans & military families; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-take-care-utah-health-access-assisters,Take Care Utah Health Access Assisters,People with disabilities,People with disabilities; Families with children; Children & teens; Low-income households; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-kids-foundation-medical-supply-exchange,Utah Kids Foundation Medical Supply Exchange and disability family support,People with disabilities; Caregivers,People with disabilities; Caregivers; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-labor-commission-uald-disability-discrimination,Utah Labor Commission UALD employment and fair-housing discrimination complaints,People with disabilities,People with disabilities,No,Other legally protected populations are not enumerated in this saved record; do not infer the full statutory list.
res-utah-medicaid-aged-blind-disabled,"Utah Medicaid Aged, Blind or Disabled Medicaid",Seniors; People with disabilities; Blind & low vision,Seniors; People with disabilities; Blind & low vision; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-parent-center-pti-special-education-support,Utah Parent Center PTI Parent Consultants and special education rights navigation,Families with children; Children & teens; Young adults; People with disabilities,Families with children; Children & teens; Young adults; People with disabilities; Caregivers; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-parent-center-utah-family-voices,Utah Parent Center Utah Family Voices Family-to-Family Health Information Center,Families with children; Children & teens,Families with children; Children & teens; People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usdb-southern-utah-school-of-the-deaf,Utah Schools for the Deaf and the Blind Southern Utah School of the Deaf and outreach,Deaf & hard of hearing; People with disabilities,Deaf & hard of hearing; People with disabilities; Blind & low vision; Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-usbe-carson-smith-scholarship,Utah State Board of Education Carson Smith Special Needs Scholarship,People with disabilities; Students,People with disabilities; Students; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-courts-guardianship-signature-program,Utah Courts Guardianship Signature Program,,People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-courts-self-help-guardianship-conservatorship,Utah State Courts Self-Help Center court forms and process help,,Abuse & violence survivors; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-state-library-blind-disabled,Utah State Library Program for the Blind and Disabled,People with disabilities; Blind & low vision,People with disabilities; Blind & low vision,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usor-ticket-to-work-choose-to-work,Utah State Office of Rehabilitation Ticket to Work and Choose to Work,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usor-pre-employment-transition-services,Utah State Office of Rehabilitation Pre-Employment Transition Services,People with disabilities; Students,People with disabilities; Students; Families with children; Children & teens; Young adults,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usor-supported-employment-services,Utah State Office of Rehabilitation Supported Employment Services,People with disabilities,People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usor-utah-work-incentive-planning-services,Utah Work Incentive Planning Services (UWIPS),People with disabilities,People with disabilities; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dsbvi-business-enterprise-program,Utah DSBVI Business Enterprise Program,Blind & low vision; People with disabilities,Blind & low vision; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
